Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Mean Sea Level Pressure daily mean [MSL];Total Precipitation daily sum [sfc];Snowfall amount raw daily sum [sfc];Total Cloud Cover daily mean [sfc];High Cloud Cover daily mean [high cld lay];Medium Cloud Cover daily mean [mid cld lay];Low Cloud Cover daily mean [low cld lay];Sunshine Duration daily sum [sfc];Shortwave Radiation daily sum [sfc];Wind Speed daily mean [10 m above gnd];Wind Direction daily mean [10 m above gnd];Wind Speed daily mean [80 m above gnd];Wind Direction daily mean [80 m above gnd];Wind Speed daily mean [900 mb];Wind Direction daily mean [900 mb];Wind Gust daily mean [sfc];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Mean Sea Level Pressure daily max [MSL];Mean Sea Level Pressure daily min [MSL];Total Cloud Cover daily max [sfc];Total Cloud Cover daily min [sfc];High Cloud Cover daily max [high cld lay];High Cloud Cover daily min [high cld lay];Medium Cloud Cover daily max [mid cld lay];Medium Cloud Cover daily min [mid cld lay];Low Cloud Cover daily max [low cld lay];Low Cloud Cover daily min [low cld lay];Wind Speed daily max [10 m above gnd];Wind Speed daily min [10 m above gnd];Wind Speed daily max [80 m above gnd];Wind Speed daily min [80 m above gnd];Wind Speed daily max [900 mb];Wind Speed daily min [900 mb];Wind Gust daily max [sfc];Wind Gust daily min [sfc]
1985;01;01;00;00;0.31;93.71;1013.71;9.80;0.00;100.00;13.04;81.83;100.00;0.00;987.01;25.18;253.01;31.53;245.98;55.68;262.10;33.12;1.28;-2.63;98.00;86.00;1029.20;1005.30;100.00;100.00;35.00;0.00;100.00;0.00;100.00;100.00;39.42;9.73;51.03;10.12;74.90;12.91;42.84;12.60
1985;01;02;00;00;0.55;95.12;1007.28;10.80;0.00;100.00;10.96;95.42;100.00;0.00;974.55;24.52;285.38;31.78;290.81;44.92;297.29;29.71;1.28;-0.76;98.00;91.00;1010.50;1005.30;100.00;100.00;35.00;0.00;100.00;37.00;100.00;100.00;39.42;9.79;49.79;13.79;73.56;18.89;42.84;12.96
1985;01;03;00;00;-1.79;89.83;1012.46;2.00;0.00;96.92;1.21;60.08;96.92;28.72;992.35;12.68;284.66;13.80;286.01;24.45;297.12;15.97;-0.80;-2.78;95.00;83.00;1013.80;1010.50;100.00;78.00;6.00;0.00;100.00;0.00;100.00;78.00;20.39;8.70;21.50;10.65;53.34;13.78;28.80;10.08
1985;01;04;00;00;-4.38;91.83;1007.43;14.50;0.00;87.75;26.42;83.17;87.71;0.00;616.77;14.40;239.94;15.35;225.62;36.19;242.49;24.43;-0.31;-13.68;100.00;71.00;1011.90;1002.20;100.00;9.00;100.00;0.00;100.00;5.00;100.00;9.00;23.61;3.10;25.82;6.81;67.73;8.78;35.28;5.76
1985;01;05;00;00;-11.94;91.92;1012.48;0.00;0.00;65.29;0.00;0.50;65.29;210.55;1764.87;4.09;112.23;4.71;98.36;7.92;94.87;9.31;-7.69;-17.11;100.00;80.00;1014.30;1011.10;100.00;35.00;0.00;0.00;3.00;0.00;100.00;35.00;7.39;0.66;10.19;0.41;17.04;0.90;17.64;2.52
1985;01;06;00;00;-9.26;88.21;1014.82;0.00;0.00;69.54;0.00;0.00;69.54;226.79;1683.88;2.90;78.40;3.88;152.12;7.01;165.04;6.70;-5.97;-13.67;98.00;81.00;1016.40;1012.80;100.00;50.00;0.00;0.00;0.00;0.00;100.00;50.00;6.20;0.64;9.04;0.59;14.59;1.38;12.60;3.60
1985;01;07;00;00;-10.94;82.67;1010.83;0.00;0.00;84.08;8.21;73.58;37.29;0.00;1923.29;6.95;107.09;7.30;101.92;9.03;125.75;9.72;-5.99;-18.36;88.00;75.00;1012.70;1008.80;100.00;50.00;22.00;0.00;100.00;0.00;100.00;0.00;8.98;5.47;9.93;4.19;11.85;6.42;13.32;7.92
1985;01;08;00;00;-8.24;87.50;1015.80;0.00;0.00;86.58;6.38;43.21;83.62;141.57;1471.17;8.34;60.30;8.71;70.76;10.27;34.31;13.92;-6.31;-12.98;93.00;82.00;1020.70;1011.50;100.00;55.00;19.00;0.00;100.00;0.00;100.00;55.00;10.84;3.87;10.49;6.66;14.38;5.69;20.52;6.12
1985;01;09;00;00;-12.42;90.00;1021.55;0.80;0.00;57.67;0.00;16.67;57.67;308.57;1991.82;6.04;214.43;7.15;219.61;8.96;250.98;9.31;-5.72;-17.60;100.00;77.00;1023.40;1018.50;100.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;11.12;2.85;11.65;4.06;25.33;2.96;23.04;2.52
1985;01;10;00;00;-3.96;90.08;1020.70;1.30;0.00;97.88;1.62;10.67;97.88;0.00;1648.28;9.52;253.44;8.17;252.61;21.57;273.27;14.25;-1.51;-5.54;100.00;86.00;1025.30;1018.30;100.00;86.00;19.00;0.00;47.00;0.00;100.00;86.00;12.40;3.20;12.32;2.72;33.83;9.47;24.84;1.44
1985;01;11;00;00;-5.95;95.33;1027.91;0.00;0.00;81.92;0.54;0.00;81.92;100.72;1929.52;3.77;133.83;3.92;133.65;7.09;148.75;6.07;-1.85;-10.19;100.00;89.00;1029.60;1025.90;100.00;57.00;5.00;0.00;0.00;0.00;100.00;57.00;6.65;1.54;5.77;2.44;10.78;4.39;14.04;1.44
1985;01;12;00;00;-5.64;91.21;1026.25;1.10;0.00;97.46;5.92;45.54;97.33;31.28;1705.24;7.12;203.00;6.42;199.47;14.98;233.59;11.19;-1.69;-9.61;96.00;86.00;1029.90;1020.90;100.00;65.00;22.00;0.00;100.00;0.00;100.00;65.00;11.90;1.02;9.74;0.45;29.99;3.50;23.40;5.04
1985;01;13;00;00;-3.63;90.08;1019.61;2.20;0.00;100.00;4.42;32.25;98.67;0.00;1540.59;11.89;121.09;11.04;120.99;19.29;118.82;15.03;-1.98;-7.51;94.00;86.00;1020.60;1018.80;100.00;100.00;30.00;0.00;100.00;0.00;100.00;79.00;18.95;5.69;18.21;4.11;40.81;5.92;28.80;5.76
1985;01;14;00;00;-8.69;87.67;1018.54;0.10;0.00;99.38;13.83;98.12;92.96;1.28;1836.96;11.60;36.96;9.96;52.03;26.17;59.67;21.57;-6.31;-11.73;90.00;83.00;1019.60;1017.60;100.00;92.00;31.00;0.00;100.00;76.00;100.00;66.00;14.30;5.92;13.82;5.03;59.88;1.94;30.60;7.92
1985;01;15;00;00;-6.62;91.92;1021.39;0.20;0.00;89.62;12.12;73.67;83.67;0.00;1811.15;5.09;125.92;4.81;132.34;5.16;157.99;6.68;-2.83;-10.93;100.00;85.00;1023.40;1018.70;100.00;57.00;100.00;0.00;100.00;4.00;100.00;56.00;8.12;2.54;8.03;1.59;9.32;1.73;14.04;3.24
1985;01;16;00;00;-4.01;92.71;1023.71;0.00;0.00;100.00;55.00;96.71;100.00;0.00;1634.93;4.93;155.48;5.16;148.51;4.91;151.71;5.89;-1.74;-6.21;94.00;91.00;1026.10;1018.50;100.00;100.00;100.00;19.00;100.00;66.00;100.00;100.00;7.54;1.82;8.21;1.76;8.64;1.94;11.16;1.80
1985;01;17;00;00;-1.78;92.62;1014.18;0.00;0.00;100.00;37.58;32.67;100.00;0.00;1846.75;4.02;182.77;4.43;200.47;5.34;171.63;6.28;-0.17;-2.59;100.00;81.00;1018.10;1010.00;100.00;100.00;100.00;0.00;100.00;0.00;100.00;100.00;6.97;0.57;7.75;0.87;8.82;0.42;10.08;2.16
1985;01;18;00;00;0.68;94.71;1003.64;0.90;0.00;98.33;83.12;90.08;92.71;17.87;1965.12;3.96;116.73;5.04;132.32;6.32;146.03;6.48;2.57;-2.44;99.00;89.00;1009.40;999.80;100.00;73.00;100.00;28.00;100.00;5.00;100.00;23.00;7.06;0.18;8.00;1.79;11.61;1.37;10.08;1.44
1985;01;19;00;00;1.79;97.79;1004.11;3.00;0.00;98.92;50.79;72.42;98.92;0.00;1500.54;6.20;220.61;5.86;213.66;13.58;248.22;12.75;2.54;-1.39;100.00;93.00;1009.70;999.80;100.00;87.00;100.00;0.00;100.00;0.00;100.00;87.00;10.45;1.72;8.74;3.23;23.88;4.00;21.60;5.04
1985;01;20;00;00;-0.20;94.62;1007.92;0.80;0.00;98.96;80.42;66.17;97.75;0.00;1415.99;5.07;192.75;5.89;175.94;11.80;226.45;10.54;2.08;-3.31;100.00;87.00;1009.90;1006.20;100.00;88.00;100.00;20.00;100.00;0.00;100.00;71.00;7.13;2.93;9.08;4.18;25.34;7.40;14.76;6.48
1985;01;21;00;00;1.19;97.08;1002.44;2.00;0.00;91.46;67.67;76.75;84.42;75.77;1116.06;8.07;134.90;10.39;130.46;17.77;189.45;13.56;2.89;-1.68;100.00;90.00;1007.30;999.00;100.00;22.00;100.00;14.00;100.00;0.00;100.00;6.00;9.50;7.08;11.92;8.61;26.41;11.65;15.84;12.24
